"spy_code","longitud","latitud","region","country"
"SPY193003","-59.4675","-60.3453333","Scotia_Sea","Antarctica"
"SPY193013","-60.0761667","-59.935","Scotia_Sea","Antarctica"
"SPY193018","-60.0761667","-59.935","Scotia_Sea","Antarctica"
"SPY193666","-55.276","-61.27967","Scotia_Sea","Antarctica"
"SPY193667","-55.43116","-61.16595","Scotia_Sea","Antarctica"
"SPY193668","-59.72348","-62.44286","Scotia_Sea","Antarctica"
"SPY193669","-55.43116","-61.16595","Scotia_Sea","Antarctica"
"SPY193670","-59.90805","-62.57982","Scotia_Sea","Antarctica"
"SPY193671","-60.00811","-62.5456","Scotia_Sea","Antarctica"
"SPY193672","-61.6481","-64.18076","Scotia_Sea","Antarctica"
"SPY193674","-55.79179","-63.57337","Scotia_Sea","Antarctica"
"SPY193675","-54.7994","-61.16097","Scotia_Sea","Antarctica"
"SPY193676","-59.8205","-62.60636","Scotia_Sea","Antarctica"
"SPY193677","-54.7994","-61.16097","Scotia_Sea","Antarctica"
"SPY193678","-55.13649","-61.20813","Scotia_Sea","Antarctica"
"SPY193679","-59.90805","-62.57982","Scotia_Sea","Antarctica"
"SPY193680","-55.16303","-61.24531","Scotia_Sea","Antarctica"
"SPY193681","-61.71242","-64.08795","Scotia_Sea","Antarctica"
"SPY193682","-55.16303","-61.24531","Scotia_Sea","Antarctica"
"SPY193683","-55.13649","-61.20813","Scotia_Sea","Antarctica"
"SPY193685","-55.276","-61.27967","Scotia_Sea","Antarctica"
"SPY193687","-63.08923","-64.81933","Scotia_Sea","Antarctica"
"SPY193689","-62.99796","-64.90026","Scotia_Sea","Antarctica"
"SPY193690","-62.99162","-64.8225","Scotia_Sea","Antarctica"
"SPY193691","-61.7181","-64.17485","Scotia_Sea","Antarctica"
"SPY193692","-59.90655","-62.58047","Scotia_Sea","Antarctica"
"SPY193694","-63.12462","-64.87142","Scotia_Sea","Antarctica"
"SPY193695","-59.90655","-62.58047","Scotia_Sea","Antarctica"
"SPY193696","-63.12462","-64.87142","Scotia_Sea","Antarctica"
"SPY193697","-59.70919","-62.5571","Scotia_Sea","Antarctica"
"SPY193698","-62.99162","-64.8225","Scotia_Sea","Antarctica"
"SPY193699","-60.00811","-62.5456","Scotia_Sea","Antarctica"
"SPY193701","-61.6481","-64.18076","Scotia_Sea","Antarctica"
"SPY193702","-61.7181","-64.17485","Scotia_Sea","Antarctica"
"SPY193704","-62.98918","-64.85005","Scotia_Sea","Antarctica"
"SPY193705","-59.8205","-62.60636","Scotia_Sea","Antarctica"
"SPY193706","-62.98918","-64.85005","Scotia_Sea","Antarctica"
"SPY193707","-59.70919","-62.5571","Scotia_Sea","Antarctica"
"SPY193708","-61.71242","-64.08795","Scotia_Sea","Antarctica"
"SPY193709","-62.99796","-64.90026","Scotia_Sea","Antarctica"
"SPY193711","-63.08923","-64.81933","Scotia_Sea","Antarctica"
"SPY193713","-57.2933333","-61.8533333","Scotia_Sea","Antarctica"
"SPY193714","-56.16251","-63.53182","Scotia_Sea","Antarctica"
"SPY193715","-57.6738333","-61.5805","Scotia_Sea","Antarctica"
"SPY193716","-61.78169","-64.12363","Scotia_Sea","Antarctica"
"SPY193717","-61.7336667","-58.7418333","Scotia_Sea","Antarctica"
"SPY193719","-57.2933333","-61.8533333","Scotia_Sea","Antarctica"
"SPY193720","-62.2928333","-58.3241667","Scotia_Sea","Antarctica"
"SPY193721","-58.4073333","-61.0923333","Scotia_Sea","Antarctica"
"SPY193723","-55.75053","-63.51437","Scotia_Sea","Antarctica"
"SPY193724","-58.054","-61.3231667","Scotia_Sea","Antarctica"
"SPY193725","-58.8038333","-60.8088333","Scotia_Sea","Antarctica"
"SPY193727","-60.7065","-59.4793333","Scotia_Sea","Antarctica"
"SPY193728","-57.6738333","-61.5805","Scotia_Sea","Antarctica"
"SPY193730","-61.78169","-64.12363","Scotia_Sea","Antarctica"
"SPY193733","-61.2583333","-59.088","Scotia_Sea","Antarctica"
"SPY193734","-58.8038333","-60.8088333","Scotia_Sea","Antarctica"
"SPY193735","-58.054","-61.3231667","Scotia_Sea","Antarctica"
"SPY193736","-58.4073333","-61.0923333","Scotia_Sea","Antarctica"
"SPY193738","-60.7065","-59.4793333","Scotia_Sea","Antarctica"
"SPY193739","-61.7336667","-58.7418333","Scotia_Sea","Antarctica"
"SPY193740","-62.16946","-64.36678","Scotia_Sea","Antarctica"
"SPY193741","-62.16946","-64.36678","Scotia_Sea","Antarctica"
"SPY193742","-62.12021","-64.3271","Scotia_Sea","Antarctica"
"SPY193743","-62.12021","-64.3271","Scotia_Sea","Antarctica"
"SPY193745","-55.75053","-63.51437","Scotia_Sea","Antarctica"
"SPY193746","-56.16251","-63.53182","Scotia_Sea","Antarctica"
"SPY193747","-59.67725","-62.39617","Scotia_Sea","Antarctica"
"SPY193749","-55.79179","-63.57337","Scotia_Sea","Antarctica"
"SPY193750","-59.67725","-62.39617","Scotia_Sea","Antarctica"
"SPY193752","-59.73343","-62.47186","Scotia_Sea","Antarctica"
"SPY193753","-56.03083","-63.58511","Scotia_Sea","Antarctica"
"SPY193755","-59.68826","-62.395066","Scotia_Sea","Antarctica"
"SPY193756","-59.72348","-62.44286","Scotia_Sea","Antarctica"
"SPY193757","-59.73343","-62.47186","Scotia_Sea","Antarctica"
"SPY193758","-59.68826","-62.395066","Scotia_Sea","Antarctica"
"SPY193759","-56.03083","-63.58511","Scotia_Sea","Antarctica"
"SPY193760","-59.73703","-62.49397","Scotia_Sea","Antarctica"
"SPY193761","-59.73703","-62.49397","Scotia_Sea","Antarctica"
"SPY201509","13.8141666","78.2358333","Arctic","Norway"
"SPY201510","27.2097222","81.2616666","Arctic","Norway"
"SPY201512","27.0711111","78.6911111","Arctic","Norway"
"SPY201513","16.0416666","79.1308333","Arctic","Norway"
"SPY201514","12.0133333","78.4194444","Arctic","Norway"
"SPY201515","15.3813888","78.2616666","Arctic","Norway"
"SPY201516","14.1994444","79.7616666","Arctic","Norway"
"SPY201517","22.6808333","80.3536111","Arctic","Norway"
"SPY201518","15.0911111","77.0002777","Arctic","Norway"
"SPY201519","19.2811111","74.4138888","Arctic","Norway"
"SPY201520","20.2816666","80.8727777","Arctic","Norway"
"SPY201521","14.5688888","77.4947222","Arctic","Norway"
"SPY201522","14.0313888","77.5622222","Arctic","Norway"
"SPY201523","12.1313888","79.9191666","Arctic","Norway"
"SPY201524","11.5674999","78.8702777","Arctic","Norway"
"SPY201525","25.3155555","76.5647222","Arctic","Norway"
"SPY201526","14.7308333","80.005","Arctic","Norway"
"SPY201527","30.9797222","80.0688888","Arctic","Norway"
"SPY201528","28.7633333","73.3763888","Arctic","Norway"
"SPY192837","-4.82777777777778","48.0733333333333","Lusitanian","France"
